text,label,category,target,source,char_length,word_count,digit_count,has_url,has_phone
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",safe,Standard SMS,0,UCI SMS Spam Collection,111,20,0,0,0
Ok lar... Joking wif u oni...,safe,Standard SMS,0,UCI SMS Spam Collection,29,6,0,0,0
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,scam,SMS Spam,1,UCI SMS Spam Collection,155,28,25,0,0
U dun say so early hor... U c already then say...,safe,Standard SMS,0,UCI SMS Spam Collection,49,11,0,0,0
"Nah I don't think he goes to usf, he lives around here though",safe,Standard SMS,0,UCI SMS Spam Collection,61,13,0,0,0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",scam,SMS Spam,1,UCI SMS Spam Collection,148,32,4,0,0
Even my brother is not like to speak with me. They treat me like aids patent.,safe,Standard SMS,0,UCI SMS Spam Collection,77,16,0,0,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,safe,Standard SMS,0,UCI SMS Spam Collection,160,26,1,0,0
WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,scam,SMS Spam,1,UCI SMS Spam Collection,158,26,19,0,1
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,scam,SMS Spam,1,UCI SMS Spam Collection,154,29,13,0,1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",safe,Standard SMS,0,UCI SMS Spam Collection,109,21,0,0,0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",scam,SMS Spam,1,UCI SMS Spam Collection,136,26,22,0,0
"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",scam,SMS Spam,1,UCI SMS Spam Collection,156,26,20,1,0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,safe,Standard SMS,0,UCI SMS Spam Collection,196,37,0,0,0
I HAVE A DATE ON SUNDAY WITH WILL!!,safe,Standard SMS,0,UCI SMS Spam Collection,35,8,0,0,0
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",scam,SMS Spam,1,UCI SMS Spam Collection,149,19,0,1,0
Oh k...i'm watching here:),safe,Standard SMS,0,UCI SMS Spam Collection,26,4,0,0,0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,safe,Standard SMS,0,UCI SMS Spam Collection,81,19,1,0,0
Fine if thatÂs the way u feel. ThatÂs the way its gota b,safe,Standard SMS,0,UCI SMS Spam Collection,58,13,0,0,0
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+",scam,SMS Spam,1,UCI SMS Spam Collection,156,24,23,0,0
Is that seriously how you spell his name?,safe,Standard SMS,0,UCI SMS Spam Collection,41,8,0,0,0
Iâm going to try for 2 months ha ha only joking,safe,Standard SMS,0,UCI SMS Spam Collection,49,11,1,0,0
So Ã¼ pay first lar... Then when is da stock comin...,safe,Standard SMS,0,UCI SMS Spam Collection,53,11,0,0,0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,safe,Standard SMS,0,UCI SMS Spam Collection,88,20,1,0,0
Ffffffffff. Alright no way I can meet up with you sooner?,safe,Standard SMS,0,UCI SMS Spam Collection,57,11,0,0,0
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,safe,Standard SMS,0,UCI SMS Spam Collection,144,28,0,0,0
Lol your always so convincing.,safe,Standard SMS,0,UCI SMS Spam Collection,30,5,0,0,0
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,safe,Standard SMS,0,UCI SMS Spam Collection,134,32,0,0,0
"I'm back &amp; we're packing the car now, I'll let you know if there's room",safe,Standard SMS,0,UCI SMS Spam Collection,75,15,0,0,0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,safe,Standard SMS,0,UCI SMS Spam Collection,64,12,0,0,0
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",safe,Standard SMS,0,UCI SMS Spam Collection,130,26,0,0,0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,safe,Standard SMS,0,UCI SMS Spam Collection,188,41,2,0,0
K tell me anything about you.,safe,Standard SMS,0,UCI SMS Spam Collection,29,6,0,0,0
For fear of fainting with the of all that housework you just did? Quick have a cuppa,safe,Standard SMS,0,UCI SMS Spam Collection,84,17,0,0,0
Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,scam,SMS Spam,1,UCI SMS Spam Collection,159,29,1,0,0
Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,safe,Standard SMS,0,UCI SMS Spam Collection,123,28,2,0,0
"Oops, I'll let you know when my roommate's done",safe,Standard SMS,0,UCI SMS Spam Collection,47,9,0,0,0
I see the letter B on my car,safe,Standard SMS,0,UCI SMS Spam Collection,28,8,0,0,0
Anything lor... U decide...,safe,Standard SMS,0,UCI SMS Spam Collection,27,4,0,0,0
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,safe,Standard SMS,0,UCI SMS Spam Collection,155,30,0,0,0
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,safe,Standard SMS,0,UCI SMS Spam Collection,82,17,0,0,0
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",safe,Standard SMS,0,UCI SMS Spam Collection,142,34,0,0,0
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,scam,SMS Spam,1,UCI SMS Spam Collection,172,33,22,0,1
WHO ARE YOU SEEING?,safe,Standard SMS,0,UCI SMS Spam Collection,19,4,0,0,0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,safe,Standard SMS,0,UCI SMS Spam Collection,72,13,0,0,0
No calls..messages..missed calls,safe,Standard SMS,0,UCI SMS Spam Collection,32,3,0,0,0
Didn't you get hep b immunisation in nigeria.,safe,Standard SMS,0,UCI SMS Spam Collection,45,8,0,0,0
"Fair enough, anything going on?",safe,Standard SMS,0,UCI SMS Spam Collection,31,5,0,0,0
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",safe,Standard SMS,0,UCI SMS Spam Collection,67,14,0,0,0
